key,sku,unitPrice,name
residential|panel|Mystique|Mystique lattice|white|2,Mystique-Lattice-White-2.0m,308.0,Panel of White Mystique Lattice @ 2.0m
residential|panel|Mystique|Mystique lattice|white|1.4,Mystique-Lattice-White-1.4m,243.0,Panel of White Mystique Lattice @ 1.4m
residential|panel|Mystique|Mystique lattice|white|1.2,Mystique-Lattice-White-1.2m,222.0,Panel of White Mystique Lattice @ 1.2m
residential|panel|Mystique|Mystique lattice|colour|1.4,Mystique-Lattice-Colour-1.4m,359.0,Panel of Colour Mystique Lattice @ 1.4m
residential|panel|Mystique|Mystique lattice|colour|2.1,Mystique-Lattice-Colour-2.1m,472.0,Panel of Colour Mystique Lattice @ 2.1m
residential|panel|Mystique|Mystique lattice|colour|1.8,Mystique-Lattice-Colour-1.8m,418.0,Panel of Colour Mystique Lattice @ 1.8m
residential|panel|Mystique|Mystique lattice|colour|2,Mystique-Lattice-Colour-2.0m,455.0,Panel of Colour Mystique Lattice @ 2.0m
residential|panel|Mystique|Mystique lattice|colour|1.6,Mystique-Lattice-Colour-1.6m,415.16,Panel of Colour Mystique Lattice @ 1.6m
residential|panel|Mystique|Mystique lattice|colour|1.2,Mystique-Lattice-Colour-1.2m,316.0,Panel of Colour Mystique Lattice @ 1.2m
residential|panel|Rosella|Rosella|white|1.4,Picket-Rosella-White-1.4m,279.0,Panel of White Rosella Picket Fencing @ 1.4m
residential|panel|Rosella|Rosella|white|1.2,Picket-Rosella-White-1.2m,279.27,Panel of White Rosella Picket Fencing @ 1.2m
residential|panel|Rosella|Rosella|white|1.8,Picket-Rosella-White-1.8m,370.0,Panel of White Rosella Picket Fencing @ 1.8m
residential|panel|Rosella|Rosella|white|0.9,Picket-Rosella-White-0.9m,250.38,Panel of White Rosella Picket Fencing @ 0.9m
residential|panel|Rosella|Rosella|white|1.6,Picket-Rosella-White-1.6m,376.64,Panel of White Rosella Picket Fencing @ 1.6m
residential|panel|Rosella|Rosella|colour|1.4,Picket-Rosella-Colour-1.4m,376.0,Panel of Colour Rosella Picket Fence @ 1.4m
residential|panel|Rosella|Rosella|colour|1.2,Picket-Rosella-Colour-1.2m,349.0,Panel of Colour Rosella Picket Fence @ 1.2m
residential|panel|Rosella|Rosella|colour|1.6,Picket-Rosella-Colour-1.6m,470.78,Panel of Colour Rosella Picket Fence @ 1.6m
residential|panel|Rosella|Rosella|colour|0.9,Picket-Rosella-Colour-0.9m,308.0,Panel of Colour Rosella Picket Fence @ 0.9m
residential|panel|Rosella|Rosella|colour|1.8,Picket-Rosella-Colour-1.8m,532.86,Panel of Colour Rosella Picket Fence @ 1.8m
residential|panel|Wren|Wren|white|1.2,Picket-Wren-White-1.2m,218.0,Panel of White Wren Picket Fencing @ 1.2m
residential|panel|Wren|Wren|white|0.9,Picket-Wren-White-0.9m,191.0,Panel of White Wren Picket Fencing @ 0.9m
