name,sku,category_norm,productType,family,style_norm,colour_norm,heightM,widthM,postType_norm,gateType_norm,key,issue,Category
nan,Picket-Kookaburra-Colour-0.9m,,panel,Kookaburra,,,0.9,,,,panel|Kookaburra|||0.9,MISSING_PRICE,
Panel of White Mystique Solid Fence @ 2.1m,Mystique-Solid-White-2.1m,residential,panel,Mystique,Mystique solid,white,2.1,,,,residential|panel|Mystique|Mystique solid|white|2.1,MISSING_PRICE,
Post White End 2100mm,ResPost-End-Wht-2.1m,residential,post,ResPost,Mystique lattice,white,2.1,,end,,residential|post|ResPost|Mystique lattice|white|2.1||end,MISSING_PRICE,
Post White End 2100mm,ResPost-End-Wht-2.1m,residential,post,ResPost,,white,2.1,,end,,residential|post|ResPost||white|2.1||end,MISSING_PRICE,
Post White Line 2100mm,ResPost-Line-Wht-2.1m,residential,post,ResPost,,white,2.1,,line,,residential|post|ResPost||white|2.1||line,MISSING_PRICE,
Timberline Post 127x127mm Grey Ridge @ 1.4m,TLPOST-127mm-GreyRidge-1.4m,rural,post,TLPOST,,GreyRidge,1.4,,blank,,rural|post|TLPOST||GreyRidge|1.4||blank,MISSING_PRICE,
1.2m Mystique Single Gate @ 2.1m Above Ground,Gate-Mystique-Single-2.1H-1.2W,residential,gate,Mystique solid,Mystique solid,,2.1,1.2,,single,residential|gate|Mystique solid|Mystique solid||2.1|1.2||single,MISSING_PRICE,
nan,Picket-Kookaburra-Colour-0.9m,,,,,,,,,,panel|Kookaburra|||0.9,MISSING_CATEGORY,
3.0m Picket Double Gate @ 1.8m Above Ground,Gate-Picket-Double-1.8H-3.0W,,,,,,,,,,gate|Unmapped|||1.8|3||double,MISSING_CATEGORY,
